states,$end,COMMA,DOT,GRAVE,PLUS,PRIME,SPACE,STAR,add,branch,div,dup,expr,expr-list,label,mod,mult,pop,print-ascii,print-expr,print-num,push,push-tail,read-ascii,read-expr,read-num,rotate,star-expr,starry-program,sub,swap
0,r3,s28,s27,s24, ,s25,s14,s26,15,13,18,4,3,2,12,19,17,7,21,10,20,8, ,23,11,22,6,9,1,16,5
1,a, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,r1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,r3,s28,s27,s24, ,s25,s14,s26,15,13,18,4,3,29,12,19,17,7,21,10,20,8, ,23,11,22,6,9, ,16,5
4,r4,r4,r4,r4, ,r4,r4,r4, , , , , , , , , , , , , , , , , , , , , , , 
5,r5,r5,r5,r5, ,r5,r5,r5, , , , , , , , , , , , , , , , , , , , , , , 
6,r6,r6,r6,r6, ,r6,r6,r6, , , , , , , , , , , , , , , , , , , , , , , 
7,r7,r7,r7,r7, ,r7,r7,r7, , , , , , , , , , , , , , , , , , , , , , , 
8,r8,r8,r8,r8, ,r8,r8,r8, , , , , , , , , , , , , , , , , , , , , , , 
9,r9,r9,r9,r9, ,r9,r9,r9, , , , , , , , , , , , , , , , , , , , , , , 
10,r10,r10,r10,r10, ,r10,r10,r10, , , , , , , , , , , , , , , , , , , , , , , 
11,r11,r11,r11,r11, ,r11,r11,r11, , , , , , , , , , , , , , , , , , , , , , , 
12,r12,r12,r12,r12, ,r12,r12,r12, , , , , , , , , , , , , , , , , , , , , , , 
13,r13,r13,r13,r13, ,r13,r13,r13, , , , , , , , , , , , , , , , , , , , , , , 
14, ,s36,s35,s24,s30,s25,s31,s34, ,33, , , , ,32, , , , , , , , , , , , , , , , 
15,r22,r22,r22,r22, ,r22,r22,r22, , , , , , , , , , , , , , , , , , , , , , , 
16,r23,r23,r23,r23, ,r23,r23,r23, , , , , , , , , , , , , , , , , , , , , , , 
17,r24,r24,r24,r24, ,r24,r24,r24, , , , , , , , , , , , , , , , , , , , , , , 
18,r25,r25,r25,r25, ,r25,r25,r25, , , , , , , , , , , , , , , , , , , , , , , 
19,r26,r26,r26,r26, ,r26,r26,r26, , , , , , , , , , , , , , , , , , , , , , , 
20,r33,r33,r33,r33, ,r33,r33,r33, , , , , , , , , , , , , , , , , , , , , , , 
21,r34,r34,r34,r34, ,r34,r34,r34, , , , , , , , , , , , , , , , , , , , , , , 
22,r38,r38,r38,r38, ,r38,r38,r38, , , , , , , , , , , , , , , , , , , , , , , 
23,r39,r39,r39,r39, ,r39,r39,r39, , , , , , , , , , , , , , , , , , , , , , , 
24,r43,r43,r43,r43, ,r43,r43,r43, , , , , , , , , , , , , , , , , , , , , , , 
25,r45,r45,r45,r45, ,r45,r45,r45, , , , , , , , , , , , , , , , , , , , , , , 
26,r27,r27,r27,r27, ,r27,r27,r27, , , , , , , , , , , , , , , , , , , , , , , 
27,r35,r35,r35,r35, ,r35,r35,r35, , , , , , , , , , , , , , , , , , , , , , , 
28,r40,r40,r40,r40, ,r40,r40,r40, , , , , , , , , , , , , , , , , , , , , , , 
29,r2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
30,r14,r14,r14,r14, ,r14,r14,r14, , , , , , , , , , , , , , , , , , , , , , , 
31, ,s28,s27,s24,s37,s25,s38,s41, ,33, , , , ,32, , , ,21,39,20, , ,23,40,22, , , , , 
32,r42,r42,r42,r42, ,r42,r42,r42, , , , , , , , , , , , , , , , , , , , , , , 
33,r44,r44,r44,r44, ,r44,r44,r44, , , , , , , , , , , , , , , , , , , , , , , 
34,r28,r28,r28,r28, ,r28,r28,r28, , , , , , , , , , , , , , , , , , , , , , , 
35,r36,r36,r36,r36, ,r36,r36,r36, , , , , , , , , , , , , , , , , , , , , , , 
36,r41,r41,r41,r41, ,r41,r41,r41, , , , , , , , , , , , , , , , , , , , , , , 
37,r15,r15,r15,r15, ,r15,r15,r15, , , , , , , , , , , , , , , , , , , , , , , 
38, ,s36,s35,s24,s42,s25,s43,s44, ,33, , , , ,32, , , , , , , , , , , , , , , , 
39,r32,r32,r32,r32, ,r32,r32,r32, , , , , , , , , , , , , , , , , , , , , , , 
40,r37,r37,r37,r37, ,r37,r37,r37, , , , , , , , , , , , , , , , , , , , , , , 
41,r29,r29,r29,r29, ,r29,r29,r29, , , , , , , , , , , , , , , , , , , , , , , 
42,r16,r16,r16,r16, ,r16,r16,r16, , , , , , , , , , , , , , , , , , , , , , , 
43, ,s28,s27,s24,s45,s25,s46,s47, ,33, , , , ,32, , , ,21,39,20, , ,23,40,22, , , , , 
44,r30,r30,r30,r30, ,r30,r30,r30, , , , , , , , , , , , , , , , , , , , , , , 
45,r17,r17,r17,r17, ,r17,r17,r17, , , , , , , , , , , , , , , , , , , , , , , 
46, ,s36,s35,s24,s51,s25,s50,s26,15,33,18, , , ,32,19,17, , , , , ,48, , , , ,49, ,16, 
47,r31,r31,r31,r31, ,r31,r31,r31, , , , , , , , , , , , , , , , , , , , , , , 
48,r18,r18,r18,r18, ,r18,r18,r18, , , , , , , , , , , , , , , , , , , , , , , 
49,r21,r21,r21,r21, ,r21,r21,r21, , , , , , , , , , , , , , , , , , , , , , , 
50, ,s28,s27,s24,s51,s25,s53,s34, ,33, , , , ,32, , , ,21,39,20, ,52,23,40,22, , , , , 
51,r20,r20,r20,r20, ,r20,r20,r20, , , , , , , , , , , , , , , , , , , , , , , 
52,r19,r19,r19,r19, ,r19,r19,r19, , , , , , , , , , , , , , , , , , , , , , , 
53, ,s36,s35,s24,s51,s25,s54,s41, ,33, , , , ,32, , , , , , , ,52, , , , , , , , 
54, ,s28,s27,s24,s51,s25,s55,s44, ,33, , , , ,32, , , ,21,39,20, ,52,23,40,22, , , , , 
55, ,s36,s35,s24,s51,s25,s56,s47, ,33, , , , ,32, , , , , , , ,52, , , , , , , , 
56, ,s28,s27,s24,s51,s25,s57,s26,15,33,18, , , ,32,19,17, ,21,39,20, ,52,23,40,22, ,49, ,16, 
57, ,s36,s35,s24,s51,s25,s58,s34, ,33, , , , ,32, , , , , , , ,52, , , , , , , , 
58, ,s28,s27,s24,s51,s25,s59,s41, ,33, , , , ,32, , , ,21,39,20, ,52,23,40,22, , , , , 
59, ,s36,s35,s24,s51,s25,s60,s44, ,33, , , , ,32, , , , , , , ,52, , , , , , , , 
60, ,s28,s27,s24,s51,s25,s61,s47, ,33, , , , ,32, , , ,21,39,20, ,52,23,40,22, , , , , 
61, ,s36,s35,s24,s51,s25,s50,s26,15,33,18, , , ,32,19,17, , , , , ,52, , , , ,49, ,16, 
